"outcome","race","age","relationship","sex","marital_status"
0," White",79," Other-relative"," Male"," Married-civ-spouse"
0," White",27," Own-child"," Male"," Never-married"
0," White",40," Husband"," Male"," Married-civ-spouse"
0," White",67," Husband"," Male"," Married-civ-spouse"
0," White",18," Own-child"," Female"," Never-married"
0," White",31," Husband"," Male"," Married-civ-spouse"
0," White",18," Not-in-family"," Male"," Never-married"
0," White",52," Husband"," Male"," Married-civ-spouse"
0," White",46," Wife"," Female"," Married-civ-spouse"
0," White",59," Husband"," Male"," Married-civ-spouse"
1," White",44," Not-in-family"," Female"," Divorced"
0," White",53," Own-child"," Female"," Divorced"
1," White",49," Husband"," Male"," Married-civ-spouse"
0," White",33," Husband"," Male"," Married-civ-spouse"
0," White",30," Not-in-family"," Male"," Never-married"
1," White",43," Not-in-family"," Female"," Never-married"
0," White",57," Husband"," Male"," Married-civ-spouse"
0," White",37," Unmarried"," Female"," Divorced"
0," Black",28," Unmarried"," Female"," Divorced"
0," Asian-Pac-Islander",30," Wife"," Female"," Married-civ-spouse"
1," White",34," Husband"," Male"," Married-civ-spouse"
0," White",29," Not-in-family"," Male"," Never-married"
1," White",48," Husband"," Male"," Married-civ-spouse"
1," White",37," Husband"," Male"," Married-civ-spouse"
0," White",48," Unmarried"," Female"," Divorced"
0," Black",32," Own-child"," Male"," Never-married"
1," White",76," Husband"," Male"," Married-civ-spouse"
1," White",44," Husband"," Male"," Married-civ-spouse"
0," White",47," Not-in-family"," Female"," Never-married"
0," White",20," Own-child"," Female"," Never-married"
0," White",29," Not-in-family"," Male"," Never-married"
1," White",32," Husband"," Male"," Married-civ-spouse"
0," White",17," Own-child"," Female"," Never-married"
0," White",30," Own-child"," Male"," Never-married"
0," White",31," Not-in-family"," Female"," Never-married"
0," White",42," Husband"," Male"," Married-civ-spouse"
0," White",24," Other-relative"," Male"," Never-married"
1," White",38," Husband"," Male"," Married-civ-spouse"
1," White",56," Husband"," Male"," Married-civ-spouse"
0," White",28," Wife"," Female"," Married-civ-spouse"
0," White",36," Own-child"," Female"," Never-married"
0," White",53," Husband"," Male"," Married-civ-spouse"
0," White",56," Husband"," Male"," Married-civ-spouse"
1," Black",49," Husband"," Male"," Married-civ-spouse"
0," White",55," Husband"," Male"," Married-civ-spouse"
0," White",22," Not-in-family"," Male"," Never-married"
0," White",21," Own-child"," Female"," Never-married"
0," White",40," Husband"," Male"," Married-civ-spouse"
0," Black",30," Own-child"," Male"," Never-married"
1," White",29," Husband"," Male"," Married-civ-spouse"
0," Black",19," Own-child"," Male"," Never-married"
1," White",47," Wife"," Female"," Married-civ-spouse"
0," White",20," Own-child"," Female"," Never-married"
1," White",31," Husband"," Male"," Married-civ-spouse"
0," White",35," Husband"," Male"," Married-civ-spouse"
0," White",39," Not-in-family"," Male"," Divorced"
0," White",28," Not-in-family"," Female"," Never-married"
0," White",24," Not-in-family"," Female"," Never-married"
0," White",38," Husband"," Male"," Married-civ-spouse"
0," White",37," Husband"," Male"," Married-civ-spouse"
0," Black",46," Not-in-family"," Female"," Divorced"
1," White",38," Husband"," Male"," Married-civ-spouse"
0," White",43," Husband"," Male"," Married-civ-spouse"
0," White",27," Wife"," Female"," Married-civ-spouse"
0," White",20," Own-child"," Male"," Never-married"
1," Asian-Pac-Islander",49," Husband"," Male"," Married-civ-spouse"
0," White",61," Husband"," Male"," Married-civ-spouse"
0," White",27," Own-child"," Female"," Never-married"
0," White",19," Own-child"," Male"," Never-married"
1," White",45," Not-in-family"," Female"," Never-married"
0," White",70," Other-relative"," Male"," Never-married"
0," Black",31," Unmarried"," Female"," Never-married"
0," White",22," Husband"," Male"," Married-civ-spouse"
0," White",36," Unmarried"," Female"," Widowed"
0," White",64," Husband"," Male"," Married-civ-spouse"
0," White",43," Not-in-family"," Female"," Divorced"
0," White",47," Unmarried"," Female"," Divorced"
0," White",34," Not-in-family"," Female"," Never-married"
0," Asian-Pac-Islander",33," Other-relative"," Female"," Never-married"
0," White",21," Own-child"," Male"," Never-married"
1," White",52," Not-in-family"," Male"," Divorced"
0," White",48," Husband"," Male"," Married-civ-spouse"
0," White",23," Not-in-family"," Male"," Never-married"
0," Black",71," Unmarried"," Male"," Separated"
0," White",29," Not-in-family"," Male"," Divorced"
0," Black",42," Other-relative"," Male"," Separated"
0," White",68," Not-in-family"," Female"," Divorced"
0," White",25," Unmarried"," Female"," Never-married"
0," Asian-Pac-Islander",44," Unmarried"," Female"," Divorced"
0," Asian-Pac-Islander",28," Not-in-family"," Female"," Never-married"
1," White",45," Husband"," Male"," Married-civ-spouse"
0," White",36," Unmarried"," Female"," Divorced"
0," White",39," Not-in-family"," Male"," Never-married"
0," White",46," Unmarried"," Male"," Widowed"
0," White",18," Own-child"," Male"," Never-married"
0," White",66," Not-in-family"," Female"," Widowed"
0," White",27," Not-in-family"," Male"," Never-married"
0," White",28," Husband"," Male"," Married-civ-spouse"
1," White",51," Husband"," Male"," Married-civ-spouse"
0," White",27," Not-in-family"," Male"," Never-married"
1," White",28," Husband"," Male"," Married-civ-spouse"
0," White",27," Unmarried"," Female"," Married-spouse-absent"
0," Black",21," Own-child"," Male"," Never-married"
0," Black",34," Not-in-family"," Male"," Never-married"
0," White",18," Own-child"," Male"," Never-married"
0," White",33," Husband"," Male"," Married-civ-spouse"
1," Black",44," Husband"," Male"," Married-civ-spouse"
0," White",43," Not-in-family"," Female"," Divorced"
0," Black",30," Not-in-family"," Male"," Never-married"
1," White",40," Husband"," Male"," Married-civ-spouse"
1," White",37," Husband"," Male"," Married-civ-spouse"
0," Black",34," Husband"," Male"," Married-civ-spouse"
0," White",41," Not-in-family"," Female"," Divorced"
0," White",53," Not-in-family"," Female"," Divorced"
0," White",31," Wife"," Female"," Married-civ-spouse"
1," White",58," Husband"," Male"," Married-civ-spouse"
0," Black",38," Not-in-family"," Female"," Divorced"
0," White",24," Husband"," Male"," Married-civ-spouse"
0," Black",41," Husband"," Male"," Married-civ-spouse"
0," White",47," Husband"," Male"," Married-civ-spouse"
0," White",41," Husband"," Male"," Married-civ-spouse"
0," White",23," Other-relative"," Male"," Married-civ-spouse"
0," White",36," Not-in-family"," Male"," Divorced"
1," White",40," Not-in-family"," Female"," Never-married"
1," White",35," Other-relative"," Male"," Married-civ-spouse"
0," White",24," Not-in-family"," Male"," Never-married"
0," White",26," Not-in-family"," Female"," Never-married"
0," White",19," Own-child"," Male"," Never-married"
1," White",51," Husband"," Male"," Married-civ-spouse"
0," White",42," Not-in-family"," Female"," Never-married"
0," White",37," Unmarried"," Female"," Divorced"
0," White",18," Own-child"," Female"," Never-married"
1," Black",36," Husband"," Male"," Married-civ-spouse"
0," White",35," Not-in-family"," Male"," Divorced"
1," White",58," Wife"," Female"," Married-civ-spouse"
0," White",17," Own-child"," Female"," Never-married"
0," Black",44," Husband"," Male"," Married-civ-spouse"
1," White",37," Husband"," Male"," Married-civ-spouse"
0," Amer-Indian-Eskimo",35," Not-in-family"," Female"," Never-married"
0," Asian-Pac-Islander",60," Husband"," Male"," Married-civ-spouse"
1," White",54," Husband"," Male"," Married-civ-spouse"
1," Black",37," Not-in-family"," Male"," Never-married"
0," White",50," Not-in-family"," Female"," Divorced"
0," White",38," Husband"," Male"," Married-civ-spouse"
0," White",45," Husband"," Male"," Married-civ-spouse"
0," White",25," Not-in-family"," Male"," Never-married"
0," White",31," Husband"," Male"," Married-civ-spouse"
0," White",64," Not-in-family"," Male"," Divorced"
0," Black",90," Not-in-family"," Male"," Never-married"
0," Black",54," Husband"," Male"," Married-civ-spouse"
0," White",53," Not-in-family"," Female"," Never-married"
0," White",18," Own-child"," Female"," Never-married"
0," Amer-Indian-Eskimo",60," Not-in-family"," Female"," Divorced"
0," White",66," Husband"," Male"," Married-civ-spouse"
0," White",75," Not-in-family"," Female"," Widowed"
0," White",65," Not-in-family"," Female"," Divorced"
0," Black",35," Not-in-family"," Male"," Separated"
0," Black",41," Unmarried"," Female"," Divorced"
0," White",25," Not-in-family"," Male"," Never-married"
0," Other",33," Other-relative"," Female"," Divorced"
1," White",28," Not-in-family"," Male"," Never-married"
0," White",59," Husband"," Male"," Married-civ-spouse"
0," White",40," Not-in-family"," Female"," Never-married"
1," White",41," Husband"," Male"," Married-civ-spouse"
1," White",38," Husband"," Male"," Married-civ-spouse"
0," White",23," Own-child"," Male"," Never-married"
1," White",40," Husband"," Male"," Married-civ-spouse"
0," White",41," Wife"," Female"," Married-civ-spouse"
0," White",24," Husband"," Male"," Married-civ-spouse"
0," White",20," Own-child"," Male"," Never-married"
0," White",38," Not-in-family"," Male"," Divorced"
0," White",56," Husband"," Male"," Married-civ-spouse"
1," White",58," Husband"," Male"," Married-civ-spouse"
0," White",32," Not-in-family"," Female"," Never-married"
1," White",40," Husband"," Male"," Married-civ-spouse"
0," White",45," Husband"," Male"," Married-civ-spouse"
1," White",41," Wife"," Female"," Married-civ-spouse"
0," Black",42," Wife"," Female"," Married-civ-spouse"
0," Black",59," Unmarried"," Female"," Widowed"
0," White",19," Own-child"," Male"," Never-married"
0," White",58," Not-in-family"," Male"," Never-married"
1," Asian-Pac-Islander",42," Husband"," Male"," Married-civ-spouse"
0," White",20," Own-child"," Female"," Never-married"
0," White",32," Not-in-family"," Female"," Separated"
0," White",45," Not-in-family"," Female"," Widowed"
0," White",50," Not-in-family"," Male"," Divorced"
0," White",36," Own-child"," Female"," Divorced"
0," White",45," Husband"," Male"," Married-civ-spouse"
0," White",17," Own-child"," Male"," Never-married"
0," White",59," Husband"," Male"," Married-civ-spouse"
0," White",26," Husband"," Male"," Married-civ-spouse"
1," Asian-Pac-Islander",37," Husband"," Male"," Married-civ-spouse"
0," White",19," Own-child"," Male"," Never-married"
1," White",64," Husband"," Male"," Married-civ-spouse"
0," White",33," Not-in-family"," Female"," Never-married"
1," White",33," Wife"," Female"," Married-civ-spouse"
1," White",61," Husband"," Male"," Married-civ-spouse"
0," White",17," Own-child"," Male"," Never-married"
0," White",50," Husband"," Male"," Married-civ-spouse"
0," White",27," Own-child"," Male"," Never-married"
0," White",30," Own-child"," Female"," Divorced"
0," Black",43," Husband"," Male"," Married-civ-spouse"
1," White",44," Husband"," Male"," Married-civ-spouse"
0," White",35," Not-in-family"," Female"," Never-married"
0," White",25," Own-child"," Female"," Never-married"
1," White",24," Wife"," Female"," Married-civ-spouse"
0," White",22," Not-in-family"," Female"," Never-married"
1," White",42," Husband"," Male"," Married-civ-spouse"
0," Black",34," Unmarried"," Female"," Divorced"
0," White",60," Not-in-family"," Female"," Divorced"
0," White",21," Own-child"," Male"," Never-married"
1," White",57," Husband"," Male"," Married-civ-spouse"
1," White",41," Husband"," Male"," Married-civ-spouse"
0," White",50," Not-in-family"," Male"," Divorced"
0," White",25," Not-in-family"," Female"," Never-married"
0," White",50," Husband"," Male"," Married-civ-spouse"
0," White",36," Husband"," Male"," Married-civ-spouse"
0," White",31," Not-in-family"," Female"," Divorced"
0," White",29," Not-in-family"," Male"," Never-married"
0," White",21," Own-child"," Male"," Never-married"
0," Black",27," Unmarried"," Female"," Never-married"
0," White",65," Husband"," Male"," Married-civ-spouse"
0," White",37," Not-in-family"," Female"," Divorced"
0," Asian-Pac-Islander",39," Wife"," Female"," Married-civ-spouse"
0," White",24," Own-child"," Male"," Never-married"
0," White",38," Not-in-family"," Male"," Divorced"
1," White",48," Husband"," Male"," Married-civ-spouse"
0," Asian-Pac-Islander",21," Not-in-family"," Female"," Never-married"
1," White",31," Husband"," Male"," Married-civ-spouse"
1," White",55," Husband"," Male"," Married-civ-spouse"
0," Asian-Pac-Islander",24," Wife"," Female"," Married-civ-spouse"
0," White",43," Not-in-family"," Female"," Divorced"
0," White",26," Not-in-family"," Male"," Never-married"
0," White",46," Not-in-family"," Female"," Never-married"
1," White",35," Husband"," Male"," Married-civ-spouse"
1," White",41," Husband"," Male"," Married-civ-spouse"
0," White",26," Not-in-family"," Male"," Never-married"
1," Asian-Pac-Islander",34," Husband"," Male"," Married-civ-spouse"
0," Black",19," Own-child"," Female"," Never-married"
1," Black",36," Not-in-family"," Female"," Divorced"
0," White",22," Own-child"," Male"," Never-married"
0," White",24," Not-in-family"," Male"," Never-married"
0," White",77," Husband"," Male"," Married-civ-spouse"
0," White",22," Other-relative"," Female"," Married-civ-spouse"
0," White",29," Not-in-family"," Female"," Never-married"
0," White",62," Not-in-family"," Female"," Widowed"
0," White",39," Husband"," Male"," Married-civ-spouse"
0," White",43," Husband"," Male"," Married-civ-spouse"
0," White",35," Not-in-family"," Male"," Divorced"
0," White",29," Not-in-family"," Female"," Never-married"
0," White",76," Husband"," Male"," Married-civ-spouse"
0," White",63," Husband"," Male"," Married-civ-spouse"
0," Black",23," Own-child"," Female"," Never-married"
1," White",43," Wife"," Female"," Married-civ-spouse"
0," White",58," Husband"," Male"," Married-civ-spouse"
0," White",66," Not-in-family"," Male"," Never-married"
0," Black",41," Not-in-family"," Male"," Never-married"
0," White",26," Not-in-family"," Male"," Never-married"
0," White",47," Not-in-family"," Male"," Never-married"
0," White",55," Husband"," Male"," Married-civ-spouse"
0," White",53," Husband"," Male"," Married-civ-spouse"
0," White",17," Other-relative"," Male"," Never-married"
0," White",30," Other-relative"," Male"," Never-married"
0," White",49," Not-in-family"," Male"," Never-married"
0," Black",19," Unmarried"," Male"," Never-married"
0," Black",45," Husband"," Male"," Married-civ-spouse"
0," White",26," Not-in-family"," Male"," Never-married"
1," White",38," Husband"," Male"," Married-civ-spouse"
1," White",36," Husband"," Male"," Married-civ-spouse"
0," White",33," Not-in-family"," Male"," Never-married"
0," Black",22," Own-child"," Female"," Never-married"
0," White",43," Not-in-family"," Male"," Never-married"
0," White",67," Husband"," Male"," Married-civ-spouse"
0," White",30," Unmarried"," Female"," Divorced"
0," White",56," Not-in-family"," Male"," Married-spouse-absent"
0," White",31," Own-child"," Male"," Never-married"
1," White",33," Husband"," Male"," Married-civ-spouse"
0," White",26," Husband"," Male"," Married-civ-spouse"
1," White",33," Husband"," Male"," Married-civ-spouse"
0," White",46," Husband"," Male"," Married-civ-spouse"
1," White",59," Husband"," Male"," Married-civ-spouse"
1," White",38," Husband"," Male"," Married-civ-spouse"
0," Other",65," Unmarried"," Male"," Widowed"
1," White",40," Husband"," Male"," Married-civ-spouse"
0," White",42," Wife"," Female"," Married-civ-spouse"
0," White",26," Husband"," Male"," Married-civ-spouse"
0," White",36," Wife"," Female"," Married-civ-spouse"
1," White",62," Husband"," Male"," Married-civ-spouse"
0," White",43," Husband"," Male"," Married-civ-spouse"
1," White",43," Not-in-family"," Male"," Divorced"
0," White",22," Not-in-family"," Male"," Married-spouse-absent"
0," White",28," Husband"," Male"," Married-civ-spouse"
0," White",56," Husband"," Male"," Married-civ-spouse"
0," White",22," Not-in-family"," Female"," Never-married"
1," White",57," Not-in-family"," Female"," Divorced"
0," White",39," Unmarried"," Female"," Divorced"
0," White",26," Unmarried"," Female"," Never-married"
0," White",17," Own-child"," Male"," Never-married"
1," White",40," Husband"," Male"," Married-civ-spouse"
0," Black",45," Husband"," Male"," Married-civ-spouse"
0," Black",44," Not-in-family"," Male"," Never-married"
0," White",20," Own-child"," Female"," Never-married"
0," White",33," Wife"," Female"," Married-civ-spouse"
0," White",23," Not-in-family"," Male"," Never-married"
0," White",46," Not-in-family"," Male"," Divorced"
0," White",38," Husband"," Male"," Married-civ-spouse"
0," White",54," Not-in-family"," Male"," Divorced"
0," White",46," Not-in-family"," Female"," Divorced"
0," White",25," Husband"," Male"," Married-civ-spouse"
0," White",46," Not-in-family"," Female"," Divorced"
0," White",36," Wife"," Female"," Married-civ-spouse"
0," White",23," Not-in-family"," Female"," Never-married"
0," White",29," Not-in-family"," Male"," Separated"
1," White",44," Wife"," Female"," Married-civ-spouse"
0," White",19," Own-child"," Female"," Never-married"
0," White",19," Other-relative"," Female"," Never-married"
1," White",35," Wife"," Female"," Married-civ-spouse"
0," White",27," Not-in-family"," Male"," Never-married"
0," White",46," Not-in-family"," Male"," Separated"
1," White",34," Husband"," Male"," Married-civ-spouse"
0," White",34," Not-in-family"," Female"," Never-married"
0," White",44," Husband"," Male"," Married-civ-spouse"
0," White",45," Unmarried"," Female"," Divorced"
0," White",20," Other-relative"," Female"," Never-married"
1," White",25," Husband"," Male"," Married-civ-spouse"
1," White",52," Husband"," Male"," Married-civ-spouse"
0," White",20," Own-child"," Male"," Never-married"
0," White",28," Not-in-family"," Female"," Never-married"
1," White",50," Husband"," Male"," Married-civ-spouse"
0," White",34," Not-in-family"," Female"," Divorced"
0," Other",28," Husband"," Male"," Married-civ-spouse"
1," White",41," Husband"," Male"," Married-civ-spouse"
0," White",28," Husband"," Male"," Married-civ-spouse"
0," White",46," Husband"," Male"," Married-civ-spouse"
1," White",28," Wife"," Female"," Married-civ-spouse"
0," White",32," Husband"," Male"," Married-civ-spouse"
0," Black",41," Not-in-family"," Female"," Divorced"
0," Black",24," Unmarried"," Female"," Never-married"
0," White",33," Unmarried"," Female"," Divorced"
1," White",46," Husband"," Male"," Married-civ-spouse"
0," White",31," Husband"," Male"," Married-civ-spouse"
1," White",35," Not-in-family"," Male"," Divorced"
0," White",52," Husband"," Male"," Married-civ-spouse"
0," White",30," Own-child"," Female"," Never-married"
0," Black",34," Not-in-family"," Male"," Separated"
0," White",34," Unmarried"," Female"," Divorced"
0," White",20," Husband"," Male"," Married-civ-spouse"
0," White",17," Own-child"," Male"," Never-married"
1," White",32," Wife"," Female"," Married-civ-spouse"
0," White",29," Not-in-family"," Male"," Divorced"
0," White",33," Unmarried"," Female"," Never-married"
0," White",25," Husband"," Male"," Married-civ-spouse"
0," White",36," Not-in-family"," Male"," Never-married"
0," White",23," Not-in-family"," Male"," Never-married"
1," White",63," Husband"," Male"," Married-civ-spouse"
0," White",47," Husband"," Male"," Married-civ-spouse"
0," White",80," Not-in-family"," Male"," Widowed"
0," White",17," Own-child"," Male"," Never-married"
0," White",40," Not-in-family"," Female"," Married-spouse-absent"
1," White",30," Wife"," Female"," Married-civ-spouse"
0," Asian-Pac-Islander",27," Own-child"," Male"," Never-married"
1," White",33," Husband"," Male"," Married-civ-spouse"
0," Black",34," Not-in-family"," Male"," Never-married"
0," White",34," Not-in-family"," Female"," Never-married"
0," White",23," Husband"," Male"," Married-civ-spouse"
0," White",42," Wife"," Female"," Married-civ-spouse"
0," White",29," Not-in-family"," Male"," Never-married"
0," White",45," Not-in-family"," Female"," Divorced"
0," White",24," Own-child"," Male"," Never-married"
1," White",44," Husband"," Male"," Married-civ-spouse"
0," White",27," Other-relative"," Male"," Never-married"
0," White",20," Not-in-family"," Male"," Never-married"
0," Black",44," Unmarried"," Female"," Widowed"
0," Amer-Indian-Eskimo",51," Husband"," Male"," Married-civ-spouse"
0," White",20," Husband"," Male"," Married-civ-spouse"
0," White",17," Own-child"," Female"," Never-married"
0," Black",19," Own-child"," Female"," Never-married"
1," White",45," Husband"," Male"," Married-civ-spouse"
1," White",60," Husband"," Male"," Married-civ-spouse"
1," Black",42," Husband"," Male"," Married-civ-spouse"
1," White",44," Wife"," Female"," Married-civ-spouse"
1," Asian-Pac-Islander",40," Husband"," Male"," Married-civ-spouse"
0," White",30," Wife"," Female"," Married-civ-spouse"
0," Black",38," Husband"," Male"," Married-civ-spouse"
0," White",23," Husband"," Male"," Married-civ-spouse"
0," White",32," Husband"," Male"," Married-civ-spouse"
0," White",44," Own-child"," Male"," Never-married"
0," Black",54," Husband"," Male"," Married-civ-spouse"
0," White",32," Husband"," Male"," Married-civ-spouse"
0," White",50," Unmarried"," Male"," Married-spouse-absent"
0," White",24," Not-in-family"," Female"," Never-married"
0," White",37," Wife"," Female"," Married-civ-spouse"
0," White",52," Unmarried"," Male"," Divorced"
0," White",38," Husband"," Male"," Married-civ-spouse"
1," White",49," Husband"," Male"," Married-civ-spouse"
1," White",30," Wife"," Female"," Married-civ-spouse"
1," White",60," Unmarried"," Male"," Never-married"
0," White",22," Own-child"," Male"," Never-married"
0," White",35," Not-in-family"," Male"," Never-married"
0," White",30," Not-in-family"," Male"," Never-married"
0," White",67," Not-in-family"," Female"," Divorced"
0," White",46," Not-in-family"," Female"," Never-married"
0," White",17," Not-in-family"," Male"," Never-married"
0," White",22," Own-child"," Male"," Never-married"
0," White",27," Not-in-family"," Male"," Never-married"
0," White",23," Unmarried"," Female"," Never-married"
0," White",33," Husband"," Male"," Married-civ-spouse"
0," White",43," Husband"," Male"," Married-civ-spouse"
0," White",28," Not-in-family"," Male"," Never-married"
0," White",41," Unmarried"," Female"," Married-spouse-absent"
0," Black",52," Other-relative"," Male"," Never-married"
0," Black",25," Own-child"," Female"," Married-spouse-absent"
0," White",63," Husband"," Male"," Married-civ-spouse"
0," White",59," Husband"," Male"," Married-civ-spouse"
0," White",45," Unmarried"," Female"," Divorced"
1," White",38," Husband"," Male"," Married-civ-spouse"
0," White",40," Not-in-family"," Female"," Never-married"
0," White",46," Not-in-family"," Male"," Divorced"
0," White",35," Not-in-family"," Female"," Never-married"
0," White",34," Unmarried"," Female"," Divorced"
0," White",33," Own-child"," Male"," Never-married"
0," White",41," Unmarried"," Female"," Divorced"
0," White",20," Own-child"," Male"," Never-married"
0," White",23," Own-child"," Male"," Never-married"
0," White",26," Not-in-family"," Female"," Never-married"
0," White",72," Husband"," Male"," Married-civ-spouse"
0," White",23," Not-in-family"," Male"," Never-married"
0," White",62," Husband"," Male"," Married-civ-spouse"
0," White",52," Husband"," Male"," Married-civ-spouse"
0," White",58," Unmarried"," Female"," Divorced"
0," White",25," Not-in-family"," Female"," Never-married"
0," Black",24," Not-in-family"," Male"," Never-married"
0," White",19," Own-child"," Male"," Never-married"
0," White",43," Husband"," Male"," Married-civ-spouse"
0," Black",47," Unmarried"," Female"," Separated"
0," White",39," Unmarried"," Female"," Divorced"
0," White",49," Unmarried"," Male"," Married-spouse-absent"
0," Black",53," Unmarried"," Female"," Widowed"
0," White",32," Not-in-family"," Male"," Never-married"
1," White",34," Husband"," Male"," Married-civ-spouse"
0," White",28," Not-in-family"," Male"," Divorced"
0," White",57," Unmarried"," Female"," Widowed"
0," Amer-Indian-Eskimo",25," Not-in-family"," Female"," Never-married"
0," White",20," Own-child"," Male"," Never-married"
0," White",21," Unmarried"," Female"," Never-married"
1," White",34," Husband"," Male"," Married-civ-spouse"
1," White",38," Husband"," Male"," Married-civ-spouse"
1," White",50," Husband"," Male"," Married-civ-spouse"
0," Black",24," Not-in-family"," Male"," Divorced"
1," White",37," Husband"," Male"," Married-civ-spouse"
1," White",44," Unmarried"," Male"," Divorced"
0," White",28," Wife"," Female"," Married-civ-spouse"
1," White",42," Husband"," Male"," Married-civ-spouse"
0," White",74," Not-in-family"," Female"," Divorced"
0," White",38," Husband"," Male"," Married-civ-spouse"
0," White",44," Husband"," Male"," Married-civ-spouse"
0," Other",44," Unmarried"," Female"," Divorced"
0," White",26," Not-in-family"," Male"," Never-married"
0," Black",36," Husband"," Male"," Married-civ-spouse"
1," White",41," Wife"," Female"," Married-civ-spouse"
1," White",67," Husband"," Male"," Married-civ-spouse"
0," White",39," Husband"," Male"," Married-civ-spouse"
0," Black",57," Not-in-family"," Female"," Widowed"
0," White",29," Not-in-family"," Male"," Separated"
0," White",31," Not-in-family"," Female"," Never-married"
0," Black",34," Unmarried"," Female"," Never-married"
0," White",44," Husband"," Male"," Married-civ-spouse"
0," White",29," Own-child"," Male"," Never-married"
0," White",30," Unmarried"," Female"," Never-married"
0," White",27," Not-in-family"," Male"," Never-married"
0," White",27," Husband"," Male"," Married-civ-spouse"
0," White",32," Not-in-family"," Female"," Never-married"
0," White",58," Wife"," Female"," Married-civ-spouse"
0," White",35," Husband"," Male"," Married-civ-spouse"
0," White",21," Own-child"," Male"," Never-married"
0," White",28," Unmarried"," Male"," Never-married"
0," White",46," Not-in-family"," Male"," Divorced"
0," White",36," Unmarried"," Female"," Separated"
0," White",72," Unmarried"," Female"," Widowed"
0," Black",35," Wife"," Female"," Married-civ-spouse"
